thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=hamlet,n,3694816167,4.7717314,20.2420386,hamlet,,,"""place""=>""hamlet"""
Localities,place=hamlet,n,3339091773,-8.0779029,17.6760493,hamlet,,Dzungu,"""name""=>""Dzungu"", ""place""=>""hamlet"""
Localities,place=suburb,n,615780874,2.4135597,22.6594435,suburb,,Bosambi,"""name""=>""Bosambi"", ""note""=>""groupement Bosambi"", ""place""=>""suburb"""
Localities,place=hamlet,n,3048320744,-2.030313,21.0344448,hamlet,,Wetsi,"""name""=>""Wetsi"", ""place""=>""hamlet"", ""source""=>""SYGIAP project (UCL and UGent)"", ""alt_name""=>""Wetsi"""
Localities,place=hamlet,n,5840434917,4.9286813,19.8184562,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,5651337504,-2.5385285,27.6224223,village,,,"""place""=>""village"""
Localities,place=village,n,1161447112,-4.65337,18.54893,village,,Kinzamba,"""name""=>""Kinzamba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Mbanza"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Nko"""
Localities,place=village,n,4870215149,-6.0163595,29.1237146,village,,,"""place""=>""village"""
Localities,place=village,n,1157428768,-5.8141991,29.1329114,village,,Kabanga,"""name""=>""Kabanga"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/03"", ""is_in:territoire""=>""Kalemie"""
Localities,place=village,n,4853946077,3.4771791,23.6532411,village,,Musumba,"""name""=>""Musumba"", ""place""=>""village"""
Localities,place=village,n,3898831332,-8.3560479,26.9176332,village,,Kyamona,"""name""=>""Kyamona"", ""fixme""=>""Conflicting names from survey"", ""place""=>""village"", ""alt_name""=>""Kiamona"""
Localities,place=hamlet,n,6656073346,-6.0894954,28.1289589,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,5717594070,-5.8375794,19.0927217,village,,Kulungu,"""name""=>""Kulungu"", ""place""=>""village"""
Localities,place=village,n,5071048098,-6.333333,22.966667,village,,Mukosa,"""name""=>""Mukosa"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=hamlet,n,6336502297,-2.0578468,16.3926562,hamlet,,Moboku,"""name""=>""Moboku"", ""place""=>""hamlet"", ""source""=>""WFP"""
Localities,place=village,n,6753732123,-2.3360927,27.667346,village,,Musagi,"""name""=>""Musagi"", ""place""=>""village"", ""source""=>""ACTED"""
